Function	Enzyme_EC	KO	gene	gene2	gene3
 sphingosine 1-phosphate receptor 1		K04288	S1PR1	EDG1	
 sphingosine 1-phosphate receptor 1		K04288	S1PR1	EDG1	
 sphingosine 1-phosphate receptor 1		K04288	S1PR1	EDG1	
 sphingosine 1-phosphate receptor 2		K04292	S1PR2	EDG5	
 sphingosine 1-phosphate receptor 2		K04292	S1PR2	EDG5	
 sphingosine 1-phosphate receptor 2		K04292	S1PR2	EDG5	
 sphingosine 1-phosphate receptor 3		K04290	S1PR3	EDG3	
 sphingosine 1-phosphate receptor 3		K04290	S1PR3	EDG3	
 sphingosine 1-phosphate receptor 3		K04290	S1PR3	EDG3	
 sphingosine 1-phosphate receptor 4		K04293	S1PR4	EDG6	
 sphingosine 1-phosphate receptor 4		K04293	S1PR4	EDG6	
 sphingosine 1-phosphate receptor 4		K04293	S1PR4	EDG6	
 sphingosine 1-phosphate receptor 4		K04293	S1PR4	EDG6	
 sphingosine 1-phosphate receptor 5		K04295	S1PR5	EDG8	
 sphingosine 1-phosphate receptor 5		K04295	S1PR5	EDG8	
 sphingosine 1-phosphate receptor 5		K04295	S1PR5	EDG8	
 serum amyloid A protein		K17310	SAA		
 outer membrane protein SabA		K15848	sabA		
 phosphatidylinositol 4-phosphatase 	3.1.3.-	K21797	SAC1	SACM1L	
 phosphatidylinositol 4-phosphatase 	3.1.3.-	K21797	SAC1	SACM1L	
 phosphatidylinositol 4-phosphatase 	3.1.3.-	K21798	SAC2	INPP5F	
 phosphatidylinositol 4-phosphatase 	3.1.3.-	K21798	SAC2	INPP5F	
 SAC3 domain-containing protein 1		K16734	SAC3D1	SHD1	
 GTPase-activating protein SAC7		K19845	SAC7		
 levansucrase 	2.4.1.10	K00692	sacB		
 levansucrase 	2.4.1.10	K00692	sacB		
 levansucrase 	2.4.1.10	K00692	sacB		
 levanase 	3.2.1.65	K01212	sacC	levB	
 sacsin		K17592	SACS		
 succinate-semialdehyde dehydrogenase 	1.2.1.16 1.2.1.24	K08324	sad		
 succinate-semialdehyde dehydrogenase 	1.2.1.16 1.2.1.24	K08324	sad		
 succinate-semialdehyde dehydrogenase 	1.2.1.16 1.2.1.24	K08324	sad		
 ecdysteroid 2-hydroxylase		K10722	SAD	CYP315A1	
 ecdysteroid 2-hydroxylase		K10722	SAD	CYP315A1	
 diguanylate cyclase 	2.7.7.65	K21019	sadC		
 DNA repair protein Swi5/Sae3		K10991	SAE3	SWI5	
 two-component system, OmpR family, response regulator SaeR		K10682	saeR		
 two-component system, OmpR family, response regulator SaeR		K10682	saeR		
 two-component system, OmpR family, sensor histidine kinase SaeS 	2.7.13.3	K10681	saeS		
 two-component system, OmpR family, sensor histidine kinase SaeS 	2.7.13.3	K10681	saeS		
 two-component system, OmpR family, sensor histidine kinase SaeS 	2.7.13.3	K10681	saeS		
 SCF-associated factor 1		K15072	SAF1		
 morphogenetic protein associated with SpoVID		K06370	safA		
 sulfoacetaldehyde dehydrogenase 	1.2.1.73	K19699	safD		mdpC3
 major surface antigen		K14143	SAG		mdpC3
 major surface antigen		K14143	SAG		
 S-arrestin		K19627	SAG		
 alpha-agglutinin		K19898	SAG1	AGAL1	
 streptolysin S associated protein		K11046	sagA		tylCVI
 two-component system, sensor histidine kinase SagS 	2.7.13.3	K20973	sagS		tylCVI
 two-component system, sensor histidine kinase SagS 	2.7.13.3	K20973	sagS		angB
 two-component system, sensor histidine kinase SagS 	2.7.13.3	K20973	sagS		angB
 two-component system, sensor histidine kinase SagS 	2.7.13.3	K20973	sagS		
 staphylokinase		K14198	sak		aveBV
 staphylokinase		K14198	sak		aveBV
 SNF1-activating kinase 1 	2.7.11.1	K21157	SAK1		aveBV
 SNF1-activating kinase 1 	2.7.11.1	K21157	SAK1		
 3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase 	3.1.3.7 3.1.3.57	K15422	SAL		
 3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase 	3.1.3.7 3.1.3.57	K15422	SAL		
 3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase 	3.1.3.7 3.1.3.57	K15422	SAL		
 salutaridinol 7-O-acetyltransferase 	2.3.1.150	K13393	SALAT		
 salbostatin 6'-phosphate phosphatase 	3.1.3.-	K20440	salE		
 two-component system, NarL family, secretion system sensor histidine kinase SalK		K14988	salK		
 two-component system, NarL family, secretion system sensor histidine kinase SalK		K14988	salK		
 two-component system, NarL family, secretion system sensor histidine kinase SalK		K14988	salK		
 sal-like protein		K19871	SALL		
 adenosyl-chloride synthase 	2.5.1.94	K21153	salL		
 putative phosphohexomutase / phosphatase		K20439	salP		
 salutaridine reductase (NADPH) 	1.1.1.248	K13392	SALR		
 two-component system, NarL family, secretion system response regulator SalR		K14989	salR		
 two-component system, NarL family, secretion system response regulator SalR		K14989	salR		
 S-adenosylmethionine uptake transporter		K15270	sam		
 sorting and assembly machinery component 35		K17715	SAM35	TOM38	
 sorting and assembly machinery component 35		K17715	SAM35	TOM38	
 sorting and assembly machinery component 37		K17714	SAM37	TOM37	
 sorting and assembly machinery component 37		K17714	SAM37	TOM37	
 outer membrane protein insertion porin family		K07277	SAM50	TOB55	
 outer membrane protein insertion porin family		K07277	SAM50	TOB55	
 S-adenosyl-L-methionine hydrolase (L-homoserine-forming) 	3.3.1.2	K21534	SAMase		
 sphingomyelin synthase-related protein 1		K22697	SAMD8		
 deoxynucleoside triphosphate triphosphohydrolase SAMHD1 	3.1.5.-	K22544	SAMHD1		
 deoxynucleoside triphosphate triphosphohydrolase SAMHD1 	3.1.5.-	K22544	SAMHD1		
 salicylate 1-O-methyltransferase 	2.1.1.274	K21483	SAMT		
 SanA protein		K03748	sanA		
 candidapepsin 	3.4.23.24	K06005	SAP		
 3-succinoylsemialdehyde-pyridine dehydrogenase 	1.2.1.83	K19700	sap		
 histone deacetylase complex subunit SAP130		K19192	SAP130		
 SIT4-associating protein SAP155		K15457	SAP155		
 histone deacetylase complex subunit SAP18		K14324	SAP18		
 histone deacetylase complex subunit SAP18		K14324	SAP18		
 histone deacetylase complex subunit SAP18		K14324	SAP18		
 histone deacetylase complex subunit SAP18		K14324	SAP18		
 SIT4-associating protein SAP185/190		K15458	SAP185_190		
 histone deacetylase complex subunit SAP25		K19193	SAP25		
 histone deacetylase complex subunit SAP30		K19202	SAP30		
 cationic peptide transport system substrate-binding protein		K19226	sapA		
 cationic peptide transport system substrate-binding protein		K19226	sapA		
 cationic peptide transport system substrate-binding protein		K19226	sapA		
 cationic peptide transport system permease protein		K19227	sapB		
 cationic peptide transport system permease protein		K19227	sapB		
 cationic peptide transport system permease protein		K19227	sapB		
 cationic peptide transport system permease protein		K19228	sapC		
 cationic peptide transport system permease protein		K19228	sapC		
 cationic peptide transport system permease protein		K19228	sapC		
 cationic peptide transport system ATP-binding protein		K19229	sapD		
 cationic peptide transport system ATP-binding protein		K19229	sapD		
 cationic peptide transport system ATP-binding protein		K19229	sapD		
 cationic peptide transport system ATP-binding protein		K19230	sapF		
 cationic peptide transport system ATP-binding protein		K19230	sapF		
 cationic peptide transport system ATP-binding protein		K19230	sapF		
 phosphatidylinositol-3-phosphatase 	3.1.3.64	K21302	sapM		
 phosphatidylinositol-3-phosphatase 	3.1.3.64	K21302	sapM		
 predicted membrane protein		K19239	sapZ		
 rRNA endonuclease 	3.1.27.10	K01171	sar		
 GTP-binding protein SAR1 	3.6.5.-	K07953	SAR1		
 GTP-binding protein SAR1 	3.6.5.-	K07953	SAR1		
 GTP-binding protein SAR1 	3.6.5.-	K07953	SAR1		
 GTP-binding protein SAR1 	3.6.5.-	K07953	SAR1		
 sarcosine dehydrogenase 	1.5.8.3	K00314	SARDH		
 sanguinarine reductase 	1.3.1.107	K20145	SARED1		
 SAP domain-containing ribonucleoprotein		K18732	SARNP	CIP29	
 seryl-tRNA synthetase 	6.1.1.11	K01875	SARS	serS	
 seryl-tRNA synthetase 	6.1.1.11	K01875	SARS	serS	
 seryl-tRNA synthetase 	6.1.1.11	K01875	SARS	serS	
 U4/U6.U5 tri-snRNP-associated protein 1		K11984	SART1	HAF	
 U4/U6.U5 tri-snRNP-associated protein 1		K11984	SART1	HAF	PCLKC
 U4/U6.U5 tri-snRNP-associated protein 1		K11984	SART1	HAF	
 squamous cell carcinoma antigen recognized by T-cells 3		K22611	SART3	TIP110	
 squamous cell carcinoma antigen recognized by T-cells 3		K22611	SART3	TIP110	
 spindle assembly abnormal protein 4		K16485	SAS-4		
 spindle assembly abnormal protein 5		K16486	SAS-5		
 spindle assembly abnormal protein 6		K16487	SAS-6	SASS6	
 histone acetyltransferase SAS2 	2.3.1.48	K11401	SAS2		
 histone acetyltransferase SAS3 	2.3.1.48	K11378	SAS3		
 something about silencing protein 4		K11402	SAS4		
 something about silencing protein 5		K11403	SAS5		
 two-component system, OmpR family, clock-associated histidine kinase SasA 	2.7.13.3	K08479	sasA		
 two-component system, OmpR family, clock-associated histidine kinase SasA 	2.7.13.3	K08479	sasA		
 two-component system, OmpR family, clock-associated histidine kinase SasA 	2.7.13.3	K08479	sasA		
 surface protein G		K14195	sasG		
 small acid-soluble spore protein A (major alpha-type SASP)		K06418	SASP-A	sspA	
 small acid-soluble spore protein B (major beta-type SASP)		K06419	SASP-B	sspB	
 sulfate adenylyltransferase 	2.7.7.4	K00958	sat	met3	
 sulfate adenylyltransferase 	2.7.7.4	K00958	sat	met3	
 sulfate adenylyltransferase 	2.7.7.4	K00958	sat	met3	
 sulfate adenylyltransferase 	2.7.7.4	K00958	sat	met3	
 streptothricin acetyltransferase 	2.3.-.-	K19063	sat2		
 streptothricin acetyltransferase 	2.3.-.-	K19314	sat3		
 streptothricin acetyltransferase 	2.3.-.-	K19273	sat4		
 SAUR family protein		K14488	SAUR		
 sulfoacetaldehyde dehydrogenase 	1.2.1.81	K15515	sauS		
 scaffold protein salvador		K16686	SAV1	Sav	
 scaffold protein salvador		K16686	SAV1	Sav	
 scaffold protein salvador		K16686	SAV1	Sav	
 scaffold protein salvador		K16686	SAV1	Sav	
 single-strand annealing weakened protein 1		K15080	SAW1		
 exodeoxyribonuclease I 	3.1.11.1	K01141	sbcB	exoI	
 exodeoxyribonuclease I 	3.1.11.1	K01141	sbcB	exoI	
 DNA repair protein SbcC/Rad50		K03546	sbcC	rad50	
 DNA repair protein SbcD/Mre11		K03547	sbcD	mre11	
 myotubularin-related protein 5/13		K18061	SBF1_2	MTMR5_13	
 immunoglobulin G-binding protein Sbi		K14197	sbi		
 serine/threonine-protein kinase SBK 	2.7.11.1	K08858	SBK		
 peptide/bleomycin uptake transporter		K17938	sbmA	bacA	
 DNA gyrase inhibitor		K07470	sbmC		
 N-(2-amino-2-carboxyethyl)-L-glutamate synthase 	2.5.1.140	K21949	sbnA		
 N-	(2S)-2-amino-2-carboxyethyl-L-glutamate dehydrogenase 	K21721	sbnB		
 santalene and bergamotene synthase 	4.2.3.50 4.2.3.53 4.2.3.54	K15798	SBS		
 Delta7-sterol 5-desaturase 	1.14.19.20	K00227	SC5DL	ERG3	
 phosphoglycan alpha-1,2-arabinopyranosyltransferase 	2.4.2.-	K13674	SCA		
 secretory carrier-associated membrane protein		K19995	SCAMP		
 SCAN domain-containing zinc finger protein		K09230	SCAN		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 scavenger receptor class B, member 1		K13885	SCARB1		
 lysosome membrane protein 2		K12384	SCARB2	LIMP2	
 cohesin complex subunit SCC1		K06670	SCC1	MCD1	
 cohesin complex subunit SCC1		K06670	SCC1	MCD1	
 cohesin complex subunit SCC1		K06670	SCC1	MCD1	
 cohesin loading factor subunit SCC2		K06672	SCC2	NIPBL	
 cohesin loading factor subunit SCC2		K06672	SCC2	NIPBL	
 cohesin loading factor subunit SCC4		K06673	SCC4		
 cohesin loading factor subunit SCC4		K06673	SCC4		
 stearoyl-CoA desaturase (Delta-9 desaturase) 	1.14.19.1	K00507	SCD	desC	
 stearoyl-CoA desaturase (Delta-9 desaturase) 	1.14.19.1	K00507	SCD	desC	
 stearoyl-CoA desaturase (Delta-9 desaturase) 	1.14.19.1	K00507	SCD	desC	
 stearoyl-CoA desaturase (Delta-9 desaturase) 	1.14.19.1	K00507	SCD	desC	
 stearoyl-CoA desaturase (Delta-9 desaturase) 	1.14.19.1	K00507	SCD	desC	
 scytalone dehydratase 	4.2.1.94	K17740	SCD1		
 sec1 family domain-containing protein 1		K19998	SCFD1	SLY1	
 phosphoglycan beta-1,3-galactosyltransferase 	2.4.1.-	K13673	SCG		
 serine/threonine protein kinase SCH9 	2.7.11.1	K19800	SCH9		
 serine/threonine protein kinase SCH9 	2.7.11.1	K19800	SCH9		
 serine/threonine protein kinase SCH9 	2.7.11.1	K19800	SCH9		
 DnaJ-related protein SCJ1		K14002	SCJ1		
 selenocysteine lyase 	4.4.1.16	K01763	SCLY		
 polycomb protein SCMH1		K11461	SCMH1		
 sex comb on midleg-like protein 1		K11464	SCML1		
 sex comb on midleg-like protein 2		K11465	SCML2		
 sex comb on midleg-like protein 4		K11466	SCML4		
 staphylococcal complement inhibitor		K14199	scn	scin	
 voltage-gated sodium channel type X alpha		K04842	SCN10A	NAV1.8	
 voltage-gated sodium channel type XI alpha		K04843	SCN11A	NAV1.9	
 voltage-gated sodium channel type I alpha		K04833	SCN1A	NAV1.1	
 voltage-gated sodium channel type I alpha		K04833	SCN1A	NAV1.1	
 voltage-gated sodium channel type I beta		K04845	SCN1B		
 voltage-gated sodium channel type I beta		K04845	SCN1B		
 voltage-gated sodium channel type II alpha		K04834	SCN2A	NAV1.2	
 voltage-gated sodium channel type II alpha		K04834	SCN2A	NAV1.2	
 voltage-gated sodium channel type II beta		K04846	SCN2B		
 voltage-gated sodium channel type III alpha		K04836	SCN3A	NAV1.3	
 voltage-gated sodium channel type III alpha		K04836	SCN3A	NAV1.3	
 voltage-gated sodium channel type III beta		K04847	SCN3B		
 voltage-gated sodium channel type IV alpha		K04837	SCN4A	NAV1.4	
 voltage-gated sodium channel type IV beta		K04848	SCN4B		
 voltage-gated sodium channel type IV beta		K04848	SCN4B		
 voltage-gated sodium channel type V alpha		K04838	SCN5A	NAV1.5	
 voltage-gated sodium channel type V alpha		K04838	SCN5A	NAV1.5	
 voltage-gated sodium channel type VII alpha		K04839	SCN7A	SCN6A	
 voltage-gated sodium channel type VII alpha		K04839	SCN7A	SCN6A	
 voltage-gated sodium channel type VIII alpha		K04840	SCN8A	NAV1.6	
 voltage-gated sodium channel type IX alpha		K04841	SCN9A	NAV1.7	
 voltage-gated sodium channel type IX alpha		K04841	SCN9A	NAV1.7	
 thiocyanate hydrolase subunit alpha 	3.5.5.8	K20760	scnA		
 thiocyanate hydrolase subunit beta 	3.5.5.8	K20761	scnB		
 thiocyanate hydrolase subunit gamma 	3.5.5.8	K20762	scnC		
 amiloride-sensitive sodium channel subunit alpha		K04824	SCNN1A	ENACA	
 amiloride-sensitive sodium channel subunit alpha		K04824	SCNN1A	ENACA	
 amiloride-sensitive sodium channel subunit alpha		K04824	SCNN1A	ENACA	
 amiloride-sensitive sodium channel subunit beta		K04825	SCNN1B	ENACB	
 amiloride-sensitive sodium channel subunit beta		K04825	SCNN1B	ENACB	
 amiloride-sensitive sodium channel subunit beta		K04825	SCNN1B	ENACB	
 amiloride-sensitive sodium channel subunit delta		K04826	SCNN1D	ENACD	
 amiloride-sensitive sodium channel subunit gamma		K04827	SCNN1G	ENACG	
 amiloride-sensitive sodium channel subunit gamma		K04827	SCNN1G	ENACG	
 amiloride-sensitive sodium channel subunit gamma		K04827	SCNN1G	ENACG	
 protein SCO1/2		K07152	SCO1_2		
 protein disulfide-isomerase 	5.3.4.1	K22521	SCO2		
 short coiled-coil protein		K20316	SCOC		
 scotin		K10135	SCOTIN		
 sterol carrier protein 2 	2.3.1.176	K08764	SCP2	SCPX	
 sterol carrier protein 2 	2.3.1.176	K08764	SCP2	SCPX	
 sterol carrier protein 2 	2.3.1.176	K08764	SCP2	SCPX	
 segregation and condensation protein A		K05896	scpA		
 segregation and condensation protein B		K06024	scpB		
 methylmalonyl-CoA decarboxylase 	7.2.4.3	K11264	scpB	mmcD	
 propionyl-CoA:succinyl-CoA transferase 	2.8.3.-	K22214	scpC		
 serine carboxypeptidase 1 	3.4.16.-	K09646	SCPEP1		
 serine carboxypeptidase-like clade I 	3.4.16.-	K16296	SCPL-I		
 serine carboxypeptidase-like clade II 	3.4.16.-	K16297	SCPL-II		
 serine carboxypeptidase-like clade IV 	3.4.16.-	K16298	SCPL-IV		
 serine carboxypeptidase-like 19 	3.4.16.- 2.3.1.91	K09756	SCPL19	SNG2	
 serine carboxypeptidase-like 19 	3.4.16.- 2.3.1.91	K09756	SCPL19	SNG2	
 serine carboxypeptidase-like 8 	3.4.16.- 2.3.1.92	K09757	SCPL8	SNG1	
 serine carboxypeptidase-like 8 	3.4.16.- 2.3.1.92	K09757	SCPL8	SNG1	
 protein scribble		K16175	SCRIB		
 protein scribble		K16175	SCRIB		
 protein scribble		K16175	SCRIB		
 protein scribble		K16175	SCRIB		
 protein scribble		K16175	SCRIB		
 secernin		K14358	SCRN		
 LacI family transcriptional regulator, sucrose operon repressor		K03484	scrR		
 scratch		K09219	SCRT		
 sucrose porin		K16077	scrY		
 suppressor for copper-sensitivity B		K08344	scsB		
 secretin		K05263	SCT		
 secretin		K05263	SCT		
 succinyl-CoA---D-citramalate CoA-transferase 	2.8.3.20	K18313	sct		
 spermidine dicoumaroyl transferase 	2.3.1.249	K20240	SCT		
 secretin receptor		K04588	SCTR		
 secretin receptor		K04588	SCTR		
 secretin receptor		K04588	SCTR		
 secretin receptor		K04588	SCTR		
 SCY1-like protein 1		K08876	SCYL1		
 SCY1-like protein 1		K08876	SCYL1		
 SCY1-like protein 2		K17541	SCYL2		
 SCY1-like protein 2		K17541	SCYL2		
 SCY1-like protein 3		K17542	SCYL3		
 developmental checkpoint coupling sporulation initiation to replication initiation		K06371	sda		
 protein SDA1		K14856	SDA1	SDAD1	
 serine transporter		K03837	sdaC		
 effector protein SdbA		K15487	sdbA		
 zinc finger protein Sdc-1		K22412	SDC-1		
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 1		K06257	SDC1	CD138	
 syndecan 2		K16336	SDC2	CD362	
 syndecan 2		K16336	SDC2	CD362	
 syndecan 2		K16336	SDC2	CD362	
 syndecan 2		K16336	SDC2	CD362	
 syndecan 2		K16336	SDC2	CD362	
 syndecan 2		K16336	SDC2	CD362	
 syndecan 3		K16337	SDC3		
 syndecan 3		K16337	SDC3		
 syndecan 4		K16338	SDC4		
 syndecan 4		K16338	SDC4		
 syndecan 4		K16338	SDC4		
 syndecan 4		K16338	SDC4		
 syndecan 4		K16338	SDC4		
 effector protein SdcA		K15483	sdcA		
 syntenin-1		K17254	SDCBP		
 peptidyl-prolyl cis-trans isomerase SDCCAG10 	5.2.1.8	K12737	SDCCAG10		
 peptidyl-prolyl cis-trans isomerase SDCCAG10 	5.2.1.8	K12737	SDCCAG10		
 serologically defined colon cancer antigen 3		K22938	SDCCAG3	ENTR1	
 serologically defined colon cancer antigen 8		K16488	SDCCAG8		
 effector protein SdeA		K15473	sdeA	laiA	
 calcium-binding protein		K19934	SDF4		
 salicyloyl-CoA 5-hydroxylase 	1.14.13.209	K21684	sdgC		
 serine 3-dehydrogenase (NADP+) 	1.1.1.276	K05886	sdh		
 secoisolariciresinol dehydrogenase 	1.1.1.331	K19650	SDH		
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase (ubiquinone) flavoprotein subunit 	1.3.5.1	K00234	SDHA	SDH1	
 succinate dehydrogenase / fumarate reductase, flavoprotein subunit 	1.3.5.1 1.3.5.4	K00239	sdhA	frdA	
 succinate dehydrogenase / fumarate reductase, flavoprotein subunit 	1.3.5.1 1.3.5.4	K00239	sdhA	frdA	
 succinate dehydrogenase / fumarate reductase, flavoprotein subunit 	1.3.5.1 1.3.5.4	K00239	sdhA	frdA	
 succinate dehydrogenase / fumarate reductase, flavoprotein subunit 	1.3.5.1 1.3.5.4	K00239	sdhA	frdA	
 succinate dehydrogenase / fumarate reductase, flavoprotein subunit 	1.3.5.1 1.3.5.4	K00239	sdhA	frdA	
 succinate dehydrogenase assembly factor 1		K18167	SDHAF1		
 succinate dehydrogenase assembly factor 2		K18168	SDHAF2	SDH5	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	1.3.5.1	K00235	SDHB	SDH2	
 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit 	1.3.5.1 1.3.5.4	K00240	sdhB	frdB	
 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit 	1.3.5.1 1.3.5.4	K00240	sdhB	frdB	
 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit 	1.3.5.1 1.3.5.4	K00240	sdhB	frdB	
 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit 	1.3.5.1 1.3.5.4	K00240	sdhB	frdB	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit		K00236	SDHC	SDH3	
 succinate dehydrogenase / fumarate reductase, cytochrome b subunit		K00241	sdhC	frdC	
 succinate dehydrogenase / fumarate reductase, cytochrome b subunit		K00241	sdhC	frdC	
 succinate dehydrogenase / fumarate reductase, cytochrome b subunit		K00241	sdhC	frdC	
 succinate dehydrogenase / fumarate reductase, cytochrome b subunit		K00241	sdhC	frdC	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase (ubiquinone) membrane anchor subunit		K00237	SDHD	SDH4	
 succinate dehydrogenase / fumarate reductase, membrane anchor subunit		K00242	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, membrane anchor subunit		K00242	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, membrane anchor subunit		K00242	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, membrane anchor subunit		K00242	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, subunit D		K18859	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, subunit D		K18859	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, subunit D		K18859	sdhD	frdD	
 succinate dehydrogenase / fumarate reductase, subunit D		K18859	sdhD	frdD	
 putative succinate dehydrogenase / fumarate reductase, subunit D		K18860	sdhD	frdD	
 putative succinate dehydrogenase / fumarate reductase, subunit D		K18860	sdhD	frdD	
 putative succinate dehydrogenase / fumarate reductase, subunit D		K18860	sdhD	frdD	
 putative succinate dehydrogenase / fumarate reductase, subunit D		K18860	sdhD	frdD	
 LuxR family transcriptional regulator, quorum-sensing system regulator SdiA		K07782	sdiA		
 LuxR family transcriptional regulator, quorum-sensing system regulator SdiA		K07782	sdiA		
 LuxR family transcriptional regulator, quorum-sensing system regulator SdiA		K07782	sdiA		
 LuxR family transcriptional regulator, quorum-sensing system regulator SdiA		K07782	sdiA		
 E3 ubiquitin-protein ligase SDIR1 	2.3.2.27	K16283	SDIR1		
 protein sidekick		K16353	SDK		WTIP
 sarcosine/dimethylglycine N-methyltransferase 	2.1.1.157	K18897	sdmt		WTIP
 cycloaraneosene synthase 	4.2.3.191	K22542	SDNA		WTIP
 sordaricin 6-deoxyaltrosyltransferase 	2.4.1.353	K22707	sdnJ		WTIP
 ribosome maturation protein SDO1		K14574	SDO1	SBDS	WTIP
 ribosome maturation protein SDO1		K14574	SDO1	SBDS	
 dual-specificity protein phosphatase SDP1 	3.1.3.48	K19812	SDP1		
 dual-specificity protein phosphatase SDP1 	3.1.3.48	K19812	SDP1		
 (S)-dichlorprop dioxygenase (2-oxoglutarate) 	1.14.11.43	K21728	sdpA		
 noscapine synthase 	1.1.1.-	K22098	SDR1		
 all-trans-retinol dehydrogenase (NAD+) 	1.1.1.105	K15734	SDR16C5		
 serine-aspartate repeat-containing protein C/D/E		K14194	sdrC_D_E		
 MFS transporter, DHA2 family, multidrug resistance protein		K18935	sdrM		
 L-serine/L-threonine ammonia-lyase 	4.3.1.17 4.3.1.19	K17989	SDS	SDH	
 L-serine/L-threonine ammonia-lyase 	4.3.1.17 4.3.1.19	K17989	SDS	SDH	
 L-serine/L-threonine ammonia-lyase 	4.3.1.17 4.3.1.19	K17989	SDS	SDH	
 spermidine disinapoyl transferase 	2.3.1.248	K20239	SDT		
 pyrimidine and pyridine-specific 5'-nucleotidase 	3.1.3.-	K18551	SDT1		
 pyrimidodiazepine synthase 	1.5.4.1	K00310	SE		
 pyrimidodiazepine synthase 	1.5.4.1	K00310	SE		
 staphylococcal enterotoxin		K11040	se		
 staphylococcal enterotoxin		K11040	se		
 uncharacterized protein		K05739	seaA		
 signal peptidase I 	3.4.21.89	K13280	SEC11	sipW	
 signal peptidase I 	3.4.21.89	K13280	SEC11	sipW	
 protein transport protein SEC13		K14004	SEC13		
